,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72
global1,0.70015,0.16185,0.03711,0.02625,0.01159,0.01042,0.00745,0.00664,0.0041,0.0039,0.0028,0.00267,0.00214,0.00181,0.00175,0.0016,0.00148,0.00146,0.00113,0.00108,0.00091,0.00087,0.00082,0.00074,0.00065,6e-04,0.00058,0.00053,0.00049,0.00045,0.00041,0.00036,0.00036,0.00034,0.00031,3e-04,0.00029,0.00025,0.00023,0.00021,2e-04,0.00019,0.00018,0.00018,0.00017,0.00016,0.00014,0.00013,0.00013,0.00012,0.00011,1e-04,1e-04,9e-05,9e-05,8e-05,8e-05,7e-05,7e-05,6e-05,6e-05,6e-05,5e-05,5e-05,5e-05,4e-05,4e-05,4e-05,4e-05,3e-05,3e-05,0
global2,0.28303,0.11411,0.0946,0.07785,0.06373,0.04845,0.04605,0.03443,0.02577,0.02285,0.02068,0.01753,0.0131,0.01267,0.00931,0.00854,0.0077,0.00682,0.0066,0.00628,0.00552,0.00515,0.00472,0.0045,0.00415,0.00357,0.00336,0.00319,0.00309,0.00287,0.00266,0.00238,0.00228,0.00219,0.00206,0.00192,0.00181,0.00176,0.00161,0.00145,0.00131,0.00125,0.00118,0.00111,0.00107,0.001,0.00097,0.00088,0.00086,0.00081,0.00073,0.00071,0.00068,0.00065,0.00061,0.00058,0.00055,5e-04,0.00048,0.00047,0.00043,0.00041,0.00036,0.00031,0.00029,0.00028,0.00028,0.00026,0.00024,0.00022,0.00021,0
global3,0.50563,0.17309,0.08636,0.05047,0.03661,0.02155,0.01648,0.01323,0.01056,0.00912,0.0072,0.00653,0.00604,0.00464,0.00399,0.00347,0.00337,0.00289,0.00263,0.00246,0.00237,0.00204,0.00183,0.00176,0.00164,0.00159,0.00146,0.00137,0.00123,0.00122,0.00111,0.00109,0.00098,0.00087,0.00085,0.00079,0.00071,0.00068,0.00063,6e-04,0.00058,0.00055,0.00052,0.00047,0.00044,0.00042,4e-04,0.00038,0.00035,0.00034,0.00034,0.00033,3e-04,0.00029,0.00028,0.00027,0.00025,0.00024,0.00023,0.00022,0.00021,2e-04,0.00019,0.00018,0.00017,0.00016,0.00014,0.00013,0.00012,0.00011,9e-05,0
global4,0.61388,0.17702,0.06885,0.03957,0.02134,0.0128,0.00939,0.00735,0.00508,0.00459,0.00404,0.00346,0.00318,0.00257,0.00224,0.00208,0.00176,0.00152,0.00144,0.00126,0.00114,0.00107,0.00091,0.00088,0.00077,0.00074,0.00066,0.00063,0.00057,0.00055,0.00053,0.00049,0.00045,0.00042,4e-04,0.00039,0.00037,0.00034,0.00032,3e-04,0.00028,0.00028,0.00027,0.00025,0.00024,0.00023,0.00022,2e-04,0.00019,0.00018,0.00018,0.00017,0.00017,0.00016,0.00015,0.00014,0.00014,0.00012,0.00012,0.00012,0.00011,1e-04,1e-04,9e-05,8e-05,8e-05,7e-05,7e-05,7e-05,5e-05,4e-05,0
global5,0.63329,0.19077,0.06857,0.03476,0.01286,0.00925,0.00753,0.0052,0.00424,0.00332,0.00291,0.00265,0.00248,0.00208,0.00181,0.00148,0.00122,0.00112,0.001,0.00092,0.00082,0.00079,0.00074,0.00069,0.00067,5e-04,0.00047,0.00046,0.00044,0.00043,0.00039,0.00037,0.00035,0.00033,0.00031,0.00031,0.00029,0.00029,0.00024,0.00022,0.00021,2e-04,2e-04,0.00019,0.00018,0.00017,0.00016,0.00015,0.00014,0.00014,0.00013,0.00012,0.00012,0.00011,1e-04,1e-04,9e-05,9e-05,8e-05,8e-05,8e-05,7e-05,7e-05,7e-05,6e-05,6e-05,6e-05,5e-05,5e-05,4e-05,2e-05,0
global6,0.61267,0.1389,0.09918,0.03986,0.02717,0.01776,0.00961,0.00718,0.00551,0.00503,0.00385,0.00294,0.00271,0.00249,0.00233,0.00211,0.00156,0.00148,0.00135,0.00117,0.00106,0.00097,0.00089,0.00084,0.00073,7e-04,0.00062,0.00057,0.00055,5e-04,0.00048,0.00045,0.00043,0.00042,0.00039,0.00036,0.00031,3e-04,3e-04,0.00029,0.00027,0.00024,0.00023,0.00021,2e-04,0.00019,0.00019,0.00018,0.00016,0.00016,0.00014,0.00014,0.00013,0.00013,0.00012,0.00011,0.00011,0.00011,1e-04,1e-04,9e-05,9e-05,8e-05,8e-05,7e-05,7e-05,6e-05,6e-05,5e-05,5e-05,4e-05,0
global7,0.57394,0.14742,0.09081,0.0434,0.02326,0.01951,0.01293,0.01003,0.00732,0.00638,0.0053,0.00458,0.00392,0.00386,0.00349,0.00322,0.00282,0.00247,0.00226,0.00213,0.00192,0.00176,0.00166,0.00153,0.00142,0.00128,0.00123,0.00117,0.00108,0.00103,0.00101,0.00094,0.00084,0.00078,0.00072,0.00072,7e-04,0.00063,0.00061,0.00058,0.00055,0.00052,0.00052,5e-04,0.00048,0.00045,0.00044,0.00041,0.00038,0.00037,0.00035,0.00032,0.00032,3e-04,0.00029,0.00028,0.00026,0.00025,0.00024,0.00024,0.00023,0.00021,2e-04,0.00018,0.00018,0.00016,0.00016,0.00015,0.00015,0.00014,0.00012,0
global8,0.46986,0.15156,0.08631,0.04617,0.03899,0.02987,0.02447,0.01736,0.01352,0.01243,0.00923,0.00804,0.0068,0.00613,0.00576,0.00523,0.00456,0.00381,0.00363,0.00331,0.00319,0.00291,0.00278,0.00252,0.0023,0.00226,0.00214,0.002,0.00191,0.00183,0.00172,0.00157,0.00153,0.00143,0.00129,0.00127,0.0012,0.00109,0.00101,0.00096,0.00091,9e-04,0.00088,0.00084,0.00077,0.00075,0.00074,7e-04,0.00066,0.00065,0.00061,0.00056,0.00055,0.00051,0.00049,0.00049,0.00048,0.00047,0.00044,0.00043,4e-04,0.00036,0.00036,0.00034,0.00033,3e-04,0.00028,0.00027,0.00025,0.00022,0.00013,0
global9,0.69103,0.14658,0.06159,0.02583,0.0175,0.00969,0.00809,0.00569,0.00527,0.00347,0.00298,0.00248,0.002,0.00178,0.00148,0.00125,0.00106,0.00091,0.00086,0.00078,0.00067,0.00063,0.00058,0.00055,5e-04,0.00048,0.00042,0.00037,0.00036,0.00033,0.00032,0.00031,0.00028,0.00025,0.00024,0.00023,0.00021,2e-04,0.00018,0.00016,0.00016,0.00015,0.00015,0.00014,0.00013,0.00012,0.00012,0.00011,0.00011,1e-04,9e-05,8e-05,8e-05,8e-05,7e-05,7e-05,6e-05,6e-05,6e-05,6e-05,5e-05,5e-05,5e-05,4e-05,4e-05,4e-05,3e-05,3e-05,3e-05,3e-05,2e-05,0
global10,0.74805,0.11233,0.06364,0.0205,0.01083,0.00906,0.00575,0.00431,0.00302,0.00275,0.00211,0.00176,0.00158,0.00129,0.00125,0.00116,0.00089,8e-04,0.00074,0.00067,0.00059,0.00048,0.00044,0.00043,4e-04,4e-04,0.00032,0.00031,0.00029,0.00027,0.00024,0.00022,0.00021,0.00019,0.00018,0.00017,0.00015,0.00015,0.00014,0.00013,0.00012,0.00012,0.00011,1e-04,1e-04,9e-05,8e-05,8e-05,8e-05,7e-05,7e-05,7e-05,7e-05,6e-05,6e-05,6e-05,5e-05,5e-05,4e-05,4e-05,4e-05,4e-05,4e-05,3e-05,3e-05,3e-05,3e-05,2e-05,2e-05,2e-05,1e-05,0
