index,region,cluster,pc,cor
oni,Africa,1,1,0.394152921602352
pdo,Americas,1,1,0.265235605039489
npgo,Antarctica,1,1,0.259094306525646
nao,Asia,1,2,0.249751602391833
pdo,Europe,1,2,0.238521921643568
npo,Oceania,1,2,0.288220288927354
pdo,Africa,1,3,0.281823934747164
iod,Americas,1,3,0.231241816727926
npo,Antarctica,1,3,0.266154395160654
oni,Asia,2,1,0.313789895027277
nao,Europe,2,1,0.254013838548621
pdo,Oceania,2,1,0.372637831155481
oni,Africa,2,2,0.248495448974934
nao,Americas,2,2,0.321152127662559
iod,Antarctica,2,2,0.280638050447772
npgo,Asia,2,2,0.329820048485406
oni,Europe,2,3,0.300251366611009
nao,Oceania,2,3,0.281619344007801
npo,Africa,2,3,0.242784931028941
nao,Americas,3,2,0.364689692105238
pdo,Antarctica,3,2,0.341599005558292
iod,Asia,3,2,0.275690781490502
npgo,Europe,3,2,0.349568838350849
oni,Oceania,3,3,0.268363671771979
npgo,Africa,3,3,0.376560425062649
npo,Americas,3,3,0.246707472744792
oni,Antarctica,4,1,0.328953178515037
pdo,Asia,4,1,0.287593410180506
iod,Europe,4,1,0.307500830060498
npgo,Oceania,4,1,0.347600075762914
npo,Africa,4,1,cor04
oni,Americas,4,2,cor04
nao,Antarctica,4,2,0.275248434719524
pdo,Asia,4,2,cor04
iod,Europe,4,2,0.243003065401296
npgo,Oceania,4,2,cor04
oni,Africa,4,3,0.266583854221065
nao,Americas,4,3,0.239236589419663
iod,Antarctica,4,3,0.232566723067789
npo,Asia,4,3,0.279767458956892
oni,Europe,5,1,0.371787383792266
nao,Oceania,5,1,cor04
npgo,Africa,5,1,0.272035391990945
npo,Americas,5,1,0.239810816014389
oni,Antarctica,5,2,0.307498591027794
pdo,Asia,5,2,0.291003536627454
npo,Europe,5,2,0.313286012287735
oni,Oceania,5,3,0.232786494005407
nao,Africa,5,3,0.249234953235805
npo,Americas,5,3,0.265818759474453
nao,Antarctica,6,1,cor04
iod,Asia,6,1,0.2571736744364
npgo,Europe,6,1,0.34642346042752
npo,Oceania,6,1,0.288914955029986
oni,Africa,6,3,0.240683715189331
nao,Americas,6,3,0.343504001945046
iod,Antarctica,6,3,0.253982715161549
npgo,Asia,6,3,0.296355902631596
oni,Europe,7,1,cor04
pdo,Oceania,7,1,cor04
npo,Africa,7,1,0.300076560804266
oni,Americas,7,2,0.259178866544184
pdo,Antarctica,7,2,0.244953928378767
iod,Asia,7,2,0.269160474702404
npo,Europe,7,2,0.32218430944615
nao,Oceania,7,3,0.24137402973439
oni,Africa,8,1,cor04
nao,Americas,8,1,0.274119921688757
pdo,Antarctica,8,1,0.318560399945637
iod,Asia,8,1,0.263182487547007
npgo,Europe,8,1,0.288362389858518
npo,Oceania,8,1,0.310895618617924
nao,Africa,8,2,0.257723300389775
pdo,Americas,8,2,0.284747226801799
npo,Antarctica,8,2,0.246079208893343
oni,Asia,8,3,0.31090989140362
iod,Europe,8,3,0.3419804611023
npo,Oceania,8,3,0.235853354508373
