index,cluster,pc,cor
nao,1,2,0.337805812095488
npo,1,2,0.244963548495223
pdo,1,3,0.244802169283366
oni,2,1,0.403704326044392
iod,2,1,0.266912604971422
npgo,2,1,0.363942725115472
nao,2,2,0.263785816484423
iod,2,2,0.275390833563745
npgo,2,2,0.34323633344812
npo,2,2,0.305444060737722
oni,2,3,0.259147652834663
iod,2,3,0.383383644843805
oni,3,1,0.473965359523912
nao,3,1,0.256608297104712
iod,3,1,0.44141316546417
npo,3,1,0.268634493907385
oni,3,2,0.646877289948671
nao,3,2,0.309911979470988
pdo,3,2,0.467038729903304
iod,3,2,0.235062747093047
npgo,3,2,0.415471445691787
npo,3,2,0.260765946593546
iod,3,3,0.254819280397726
npgo,3,3,0.308369641870058
oni,4,1,0.267357544062391
pdo,4,1,0.267984603847193
oni,4,2,0.301280252208366
nao,4,2,0.264429811956684
pdo,4,2,0.373817352222829
npgo,4,2,0.252017752892786
oni,4,3,0.233435406220116
pdo,4,3,0.238195153232994
oni,5,1,0.355644545037486
pdo,5,1,0.243417203972347
iod,5,1,0.241483427173073
npgo,5,1,0.294349119684356
iod,5,2,0.248306393107372
oni,5,3,0.335462366212321
pdo,5,3,0.266763074845925
iod,5,3,0.253721127261355
npgo,5,3,0.38140271680961
oni,6,1,0.282487034505045
nao,6,1,0.282004352479811
pdo,6,1,0.276768322671871
iod,6,1,0.245407820536664
npo,6,1,0.369957618207582
oni,6,2,0.266428110829481
nao,6,2,0.288597633407406
iod,6,2,0.233438100376885
oni,6,3,0.316022815793199
nao,6,3,0.236760506856027
pdo,6,3,0.255637187613742
iod,6,3,0.284777658888054
npo,6,3,0.374697383979136
oni,7,1,0.413717295075969
pdo,7,1,0.409008081122797
iod,7,1,0.298743328945677
npgo,7,1,0.243177257981797
npo,7,1,0.312802555333744
oni,7,2,0.234125640291926
nao,7,2,0.239487723861555
iod,7,2,0.260846822330485
npgo,7,2,0.241152225226336
oni,7,3,0.346275064625852
pdo,7,3,0.4164653886147
npgo,7,3,0.353723912078651
npo,7,3,0.294686711386046
oni,8,1,0.295362723885838
nao,8,1,0.240107870243408
pdo,8,1,0.242488759413087
npgo,8,1,0.243271368390363
npo,8,1,0.291722964477282
oni,8,2,0.246269177164884
nao,8,2,0.282725573002869
iod,8,2,0.236404681700611
pdo,8,3,0.242273158042794
iod,8,3,0.282314105858695
npgo,8,3,0.263098352301473
oni,9,1,0.312467016187959
nao,9,1,0.354656302542614
pdo,9,1,0.388687569775847
npgo,9,1,0.34406291201873
nao,9,2,0.250981989624442
pdo,9,2,0.265480202244001
npgo,9,2,0.232744059987816
npo,9,2,0.307312672669003
nao,10,1,0.316176857034996
iod,10,1,0.234427528259863
npgo,10,1,0.30017760782373
npo,10,1,0.295774468197323
oni,10,2,0.332346198121672
pdo,10,2,0.258708174311939
iod,10,2,0.270125410807729
nao,10,3,0.295474431774969
pdo,10,3,0.240027116891701
npo,10,3,0.275539960326637
oni,11,1,0.278594437347553
nao,11,1,0.252299944254963
iod,11,1,0.294713057798655
npgo,11,1,0.362044356358477
npo,11,1,0.367645083171036
nao,11,2,0.254732670598557
npo,11,2,0.349505402667803
oni,11,3,0.279734724972808
pdo,11,3,0.280776951010517
iod,11,3,0.298212456630094
npgo,11,3,0.260858549624413
iod,12,1,0.272281465888268
nao,12,2,0.259977459463309
oni,12,3,0.359256520370207
nao,12,3,0.314453327375187
npgo,12,3,0.277251906647578
npo,12,3,0.391261612788231
oni,13,1,0.306870777504527
nao,13,1,0.503427733079525
pdo,13,1,0.282697961777811
npgo,13,1,0.262956515902139
oni,13,2,0.259742248619025
nao,13,2,0.298152550117628
pdo,13,2,0.296591340796317
iod,13,2,0.257452557007714
npgo,13,2,0.303941638642262
npo,13,2,0.256519631962826
nao,13,3,0.246631609685011
iod,13,3,0.342037810300089
oni,14,1,0.411273376919534
nao,14,1,0.311760961862056
pdo,14,1,0.333677100642321
npo,14,1,0.310473474892059
oni,14,2,0.254735094019992
pdo,14,2,0.274008694483366
npgo,14,2,0.243625003484522
npo,14,2,0.240810535311443
nao,14,3,0.237696162211914
npgo,14,3,0.243476292345094
oni,15,1,0.597705096838171
nao,15,1,0.330798193811361
pdo,15,1,0.317817057684519
npgo,15,1,0.253477921576389
npo,15,1,0.357649608888269
oni,15,2,0.577139850074693
nao,15,2,0.244729593079616
pdo,15,2,0.436535455677915
iod,15,2,0.312644546791481
npgo,15,2,0.362231960440202
npo,15,2,0.378457788882973
oni,15,3,0.276980797878824
nao,15,3,0.327902764130574
iod,15,3,0.32268041191249
oni,16,1,0.34617104610551
nao,16,1,0.318278334819148
pdo,16,1,0.279337181756393
iod,16,1,0.268357375546329
npgo,16,1,0.426047033704251
oni,16,2,0.253336378220844
nao,16,2,0.257708215005668
iod,16,2,0.253070176309148
npo,16,2,0.23489673102612
oni,17,1,0.335025772928609
nao,17,1,0.519942918440838
pdo,17,1,0.241301528347135
iod,17,1,0.237451272566641
npgo,17,1,0.356921534376754
npo,17,1,0.246622048571017
nao,17,2,0.326475256504252
nao,17,3,0.268994515113483
oni,18,2,0.322355781153496
nao,18,2,0.241468820971282
pdo,18,2,0.236035647797245
npgo,18,2,0.363027499761871
oni,18,3,0.26024379537116
nao,18,3,0.251486645097107
pdo,18,3,0.247614717673097
iod,18,3,0.277321631776567
npgo,18,3,0.266673550075612
oni,19,1,0.320421936776582
nao,19,2,0.379443981848433
iod,19,2,0.258470719822457
npo,19,2,0.233490776760392
oni,19,3,0.366623151080214
pdo,19,3,0.350285018185803
oni,20,1,0.318342114562082
nao,20,2,0.244839160052036
oni,20,3,0.234330038864679
nao,20,3,0.354088833837984
oni,21,1,0.378799793031557
npgo,21,1,0.331575042823176
npo,21,1,0.249775894209354
oni,21,2,0.302528908543381
pdo,21,2,0.245264580797467
iod,21,2,0.340504362133465
npgo,21,2,0.370001681078491
pdo,21,3,0.243116906437422
iod,21,3,0.287802669887243
pdo,22,1,0.280110348251532
oni,22,2,0.236230485948793
nao,22,2,0.356751572031339
pdo,22,2,0.239926641977672
npgo,22,2,0.296384851420223
oni,22,3,0.317789470682078
nao,22,3,0.389989282491526
iod,22,3,0.253594436683613
npo,22,3,0.281212107453319
oni,23,1,0.300776116018408
nao,23,1,0.330578128867039
npo,23,1,0.305941120605282
nao,23,2,0.252237431998529
npo,23,2,0.236434921356495
oni,23,3,0.23292445810911
nao,23,3,0.25794880139175
pdo,23,3,0.316778850372074
iod,23,3,0.264903393344258
npo,23,3,0.291520999152419
nao,24,1,0.275622933906473
pdo,24,1,0.238898442692774
npgo,24,2,0.307397468833719
nao,24,3,0.256450602880463
iod,24,3,0.234583165454838
npo,24,3,0.26012803318853
nao,25,1,0.329010026883913
iod,25,1,0.302930757480894
oni,25,2,0.296921441418111
nao,25,2,0.259421528091286
npgo,25,2,0.262840298368752
nao,25,3,0.251810992138311
pdo,25,3,0.340010214190925
oni,26,1,0.241709157469841
nao,26,1,0.312937011215286
pdo,26,1,0.2341983072178
npgo,26,1,0.233537879193932
oni,26,2,0.268412155836058
iod,26,2,0.242476647021606
oni,26,3,0.259256406944221
nao,26,3,0.282146047059216
pdo,26,3,0.385136177548763
npgo,26,3,0.315072055437671
oni,27,1,0.484419693488432
pdo,27,1,0.300142416612149
iod,27,1,0.349713939643897
iod,27,2,0.31377171782225
npgo,27,2,0.266840937533855
oni,27,3,0.309133633037695
pdo,27,3,0.249375759418463
npgo,27,3,0.47776118292074
oni,28,1,0.36612318358368
pdo,28,1,0.239025874363608
iod,28,1,0.234159759786725
npo,28,1,0.259463729582706
oni,28,2,0.31958091399923
pdo,28,2,0.262323094482244
iod,28,2,0.321379542773685
npo,28,2,0.243952095045294
oni,28,3,0.243673969884253
nao,28,3,0.253988976235098
iod,28,3,0.232483048476467
npgo,28,3,0.247906639454399
npo,28,3,0.233314396430178
oni,29,1,0.36743913873592
nao,29,1,0.368458761973555
pdo,29,1,0.244363177399885
npo,29,1,0.262446910977027
nao,29,2,0.234164105711317
pdo,29,2,0.255925721922018
nao,29,3,0.373246961081861
pdo,29,3,0.243968925912326
oni,30,1,0.274598142644201
nao,30,1,0.32560424765082
pdo,30,1,0.360902290910062
npo,30,1,0.313783553924609
oni,30,2,0.275250258686595
nao,30,2,0.391108840278217
oni,30,3,0.295775450609716
iod,30,3,0.236058732860442
oni,31,1,0.297973481201601
nao,31,1,0.27759622510232
pdo,31,1,0.258931834665648
npgo,31,1,0.299753929530608
oni,31,2,0.257234006321176
nao,31,2,0.240624709350161
pdo,31,2,0.265699381084769
oni,31,3,0.272310040447603
iod,31,3,0.332670218869804
npo,31,3,0.268438418969098
oni,32,1,0.255156404354981
pdo,32,1,0.303344080716358
iod,32,1,0.236090306839485
oni,32,3,0.26676423233053
nao,32,3,0.247849506614826
npgo,32,3,0.251740457673844
npo,32,3,0.287517465960712
nao,33,1,0.290929506201711
nao,33,3,0.358158119187736
pdo,34,1,0.233667236510844
iod,34,1,0.30825667904984
pdo,34,2,0.259115205896958
npgo,34,2,0.342713443624888
oni,34,3,0.328898344934914
nao,34,3,0.269765739095234
oni,35,1,0.235874248588222
nao,35,1,0.262817918652102
npo,35,1,0.28568670762943
iod,35,2,0.274916908395131
nao,35,3,0.250678247110639
nao,36,1,0.271827076458935
nao,36,2,0.31015139010487
oni,36,3,0.329955941768686
pdo,36,3,0.236583343982615
npo,36,3,0.293735206236854
oni,37,1,0.234742036291668
nao,37,1,0.320328768665675
iod,37,1,0.274535100257497
oni,37,2,0.308797299249703
nao,37,2,0.305757096013317
pdo,37,2,0.267147039162638
npgo,37,2,0.321290698034429
pdo,37,3,0.315823755174543
npo,37,3,0.298621217770458
nao,38,1,0.243454728047597
nao,38,2,0.327552489289201
npgo,38,2,0.272642464664974
npo,38,2,0.290931669652954
oni,38,3,0.253766171323156
pdo,38,3,0.270184060711751
pdo,39,1,0.247895214532792
npgo,39,1,0.276340361728464
oni,39,2,0.305781947160658
pdo,39,2,0.27497304038736
npo,39,2,0.256927784759323
oni,39,3,0.262792207419556
nao,39,3,0.254133153468926
npgo,39,3,0.267846319551524
npo,39,3,0.24773470935436
nao,40,1,0.231643839950763
pdo,40,1,0.269302806905908
npgo,40,1,0.269840999988838
oni,40,2,0.315651547615179
nao,40,2,0.323160316857371
npgo,40,2,0.303804059195224
npo,40,2,0.306767966331926
oni,40,3,0.415724723491285
pdo,40,3,0.281414996963594
npo,40,3,0.295641273682179
oni,41,1,0.235124982154983
iod,41,1,0.255418749116976
oni,41,2,0.26843924745642
nao,41,2,0.236575139420334
iod,41,2,0.344996195282375
npo,41,2,0.248335847036866
oni,41,3,0.392354250300402
pdo,41,3,0.401932432232495
npgo,41,3,0.327983857289486
npo,41,3,0.309638140362771
oni,42,1,0.243419696528174
pdo,42,1,0.247391868800744
npo,42,1,0.363890429481738
nao,42,2,0.261424666292078
npgo,42,2,0.242172652439408
oni,42,3,0.242825562737627
pdo,42,3,0.26551027844357
npgo,42,3,0.255937963799702
oni,43,1,0.393323456773516
nao,43,1,0.240563468502775
pdo,43,1,0.241614307465967
npo,43,1,0.246482919435448
nao,43,3,0.257871575579022
npo,43,3,0.261786710693142
