,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72
global1,0.19912,0.07192,0.07082,0.06079,0.04571,0.03905,0.035,0.03134,0.02557,0.02281,0.01992,0.01771,0.0175,0.01678,0.01527,0.01474,0.01377,0.01254,0.01219,0.01164,0.0114,0.00941,0.00894,0.00861,0.00857,0.00804,0.00793,0.0074,0.00721,0.00708,0.00694,0.00681,0.00645,0.00624,0.00617,0.00601,0.00564,0.00553,0.00537,0.0053,0.00527,0.00491,0.00468,0.00459,0.0043,0.00425,0.0041,0.00407,0.00393,0.00384,0.00374,0.00357,0.00346,0.00336,0.00323,0.00321,0.00311,0.00303,0.00294,0.00289,0.0028,0.00269,0.00266,0.00263,0.00259,0.00246,0.00237,0.00222,0.00199,0.001,0.00089,0
global2,0.11523,0.07931,0.07579,0.04937,0.04385,0.03762,0.03401,0.03282,0.02788,0.02639,0.02372,0.0207,0.02022,0.01878,0.01742,0.01619,0.01549,0.01426,0.01391,0.01287,0.01269,0.01182,0.01131,0.01064,0.01016,0.01004,0.00974,0.00931,0.00917,0.0091,0.00875,0.00831,0.0081,0.00786,0.00748,0.00715,0.00691,0.0069,0.00645,0.00642,0.00623,0.00595,0.0058,0.00563,0.0055,0.00538,0.0052,0.00508,0.00499,0.0048,0.00457,0.00438,0.00424,0.0042,0.00405,0.00395,0.00393,0.00377,0.00363,0.00355,0.00345,0.00337,0.00326,0.0031,0.00307,0.00296,0.00284,0.00281,0.00265,0.00205,0.00149,0
global3,0.21251,0.11962,0.0673,0.06237,0.04295,0.03281,0.03098,0.02679,0.02257,0.01842,0.01743,0.01627,0.01515,0.01476,0.01279,0.01243,0.01171,0.01117,0.01059,0.00976,0.00963,0.00938,0.00911,0.00861,0.00786,0.00776,0.00753,0.00732,0.00703,0.00689,0.00666,0.00641,0.00606,0.00586,0.00564,0.00549,0.00546,0.00534,0.00505,0.00479,0.0047,0.00466,0.00458,0.0043,0.00405,0.00396,0.00393,0.00367,0.00353,0.00341,0.00332,0.00326,0.0032,0.0031,0.00304,0.00301,0.00289,0.00281,0.00278,0.00269,0.00261,0.00256,0.00245,0.0024,0.00237,0.00224,0.00217,0.00213,0.00179,0.00124,0.00089,0
global4,0.20335,0.11847,0.08275,0.07752,0.04787,0.04066,0.03725,0.03355,0.02913,0.02172,0.01922,0.01794,0.01713,0.01444,0.01344,0.01226,0.01122,0.01035,0.00935,0.00916,0.00846,0.00787,0.00749,0.00702,0.00658,0.00647,0.00568,0.00566,0.0055,0.00525,0.00496,0.00473,0.00448,0.00448,0.00411,0.00405,0.00397,0.00389,0.0037,0.00356,0.00344,0.00324,0.0032,0.00311,0.00299,0.00286,0.00275,0.00272,0.00265,0.00256,0.00246,0.00237,0.0023,0.00226,0.00213,0.00202,0.00196,0.00194,0.00188,0.00177,0.00172,0.00165,0.0016,0.00149,0.00142,0.0014,0.00129,0.00128,0.00109,0.00088,0.00086,0
global5,0.32206,0.10487,0.07586,0.0551,0.04194,0.03452,0.02355,0.02151,0.02085,0.01953,0.01661,0.01517,0.01335,0.01222,0.01127,0.01061,0.00934,0.00918,0.00837,0.00801,0.00789,0.00725,0.00682,0.00652,0.00616,0.00588,0.00572,0.00537,0.00517,0.00509,0.00487,0.00449,0.00444,0.00427,0.00399,0.00387,0.00367,0.00359,0.0035,0.00343,0.00335,0.00324,0.00307,0.00298,0.00287,0.0027,0.00269,0.00263,0.00259,0.00247,0.00238,0.00236,0.00225,0.00212,0.00207,0.00205,0.00202,0.00198,0.0019,0.00178,0.00173,0.00167,0.00167,0.0016,0.00151,0.00139,0.00132,0.00129,0.00113,0.00073,0.00057,0
global6,0.23428,0.11281,0.06535,0.05968,0.05017,0.03553,0.03114,0.02897,0.02595,0.02275,0.0197,0.01607,0.0157,0.015,0.01333,0.0127,0.012,0.01155,0.01031,0.01027,0.0099,0.00906,0.00848,0.00768,0.00708,0.00673,0.00654,0.0061,0.00587,0.0057,0.00552,0.00521,0.00507,0.00497,0.00471,0.00464,0.00455,0.00433,0.00415,0.00388,0.00379,0.00376,0.00367,0.00353,0.00341,0.00331,0.00321,0.00312,0.00306,0.00294,0.0029,0.00283,0.00269,0.00252,0.00241,0.0024,0.0023,0.00221,0.00219,0.00211,0.00205,0.00196,0.00189,0.00183,0.00178,0.00167,0.00163,0.00158,0.00152,0.00141,0.00091,0
global7,0.24371,0.12754,0.06036,0.05718,0.0433,0.04256,0.0283,0.02547,0.02438,0.02068,0.01856,0.01767,0.01685,0.01556,0.01519,0.01313,0.01216,0.01119,0.01023,0.00958,0.00886,0.00856,0.00793,0.00759,0.00731,0.0068,0.00634,0.00612,0.00593,0.00579,0.00546,0.00511,0.00503,0.00498,0.00479,0.00442,0.00421,0.00414,0.00402,0.00382,0.00367,0.00357,0.00331,0.00327,0.00323,0.00308,0.00289,0.00273,0.00271,0.00257,0.00254,0.00253,0.00236,0.0023,0.00228,0.0022,0.00214,0.00202,0.00195,0.0019,0.00185,0.00172,0.00169,0.0016,0.00155,0.00151,0.00149,0.00137,0.00133,0.00118,0.00069,0
global8,0.3245,0.10829,0.08432,0.04948,0.03787,0.03481,0.02989,0.023,0.02,0.01791,0.01496,0.01298,0.01268,0.01189,0.01081,0.01038,0.00962,0.00884,0.00873,0.0081,0.00764,0.00725,0.0071,0.00677,0.00623,0.00606,0.00559,0.00539,0.00525,0.00493,0.00474,0.00435,0.00411,0.00398,0.0038,0.0037,0.0035,0.00343,0.00336,0.00318,0.00314,0.00303,0.00297,0.00279,0.00276,0.00268,0.00259,0.00243,0.00238,0.00229,0.00217,0.00213,0.00203,0.00199,0.00194,0.00192,0.00186,0.00179,0.00173,0.00164,0.0016,0.00155,0.00153,0.00148,0.00145,0.00139,0.00123,0.00117,0.00111,0.00096,0.00084,0
