global_cluster2_ccf3_oni,global_cluster3_ccf1_oni,global_cluster3_ccf3_nao,global_cluster4_ccf1_oni,global_cluster4_ccf1_pdo,global_cluster8_ccf2_npo
-0.078043417783591,-0.116437946773085,-0.0776419091549893,0.0292713213993475,0.0786327894913251,0.124162225589974
-0.136282351794126,0.0649641979422984,-0.0554606013860111,-0.0261196185524777,0.0705909346691428,-0.0379848140428508
0.187243264750325,0.081709564962499,0.0541437526227517,-0.0695915083184152,0.0156509211244843,-0.00596221028901832
-0.131789790976598,-0.272917878594308,0.29877382587223,0.11093212837261,-0.00687286606067224,-0.00626737892974133
-0.13611489845005,-0.377101702966355,-0.0700832226465068,-0.00688697990245964,-0.137499292953362,-0.0569802545947406
0.435954390494622,0.401470956851528,0.462556897939049,-0.50929557577898,-0.431656942929121,-0.0454353615535879
0.0962288309801348,0.545110350009813,0.174798351272204,-0.249658608911916,-0.228775803529692,-0.466697830231227
-0.007613553500079,-0.314219501628587,0.170535774425647,0.0864041234556263,-0.0182843845343323,-0.0186434827246405
0.112153853616448,-0.139845081438582,-0.09579158377281,0.13069631348617,0.0654624172581043,-0.138478966445894
0.135835534484055,0.138943900820653,0.0692774938960312,0.0627274722742586,0.099125730670149,-0.101953690336023
-0.117117117228934,0.0262190571423741,-0.054345413911125,0.155970112208697,0.224186967348195,0.156129524963128
