index,cluster,pc,cor
nao,1,1,0.289049107159647
pdo,1,1,0.289323969011822
iod,1,1,0.294089789104997
npo,1,1,0.236924793125008
oni,1,2,0.309996318008213
pdo,1,2,0.265283883953524
npgo,1,2,0.271656832593376
npo,1,2,0.26311345880947
nao,1,3,0.243152767769164
oni,2,1,0.454325094463019
pdo,2,1,0.322770068626775
oni,2,2,0.239220929453733
iod,2,2,0.300964509012512
npgo,2,2,0.233664191843415
nao,2,3,0.266024062169164
npo,2,3,0.282703163643998
oni,3,1,0.543587625786612
nao,3,1,0.420526772889812
pdo,3,1,0.273061107995569
oni,3,2,0.402566206134159
nao,3,2,0.322024250873688
pdo,3,2,0.363746019011702
npgo,3,2,0.26626693208013
nao,3,3,0.282921998977534
iod,3,3,0.287441294557085
npo,3,3,0.26949330541443
oni,4,1,0.470000847575386
pdo,4,1,0.400147749824835
iod,4,1,0.286823952537795
npgo,4,1,0.316418609080384
npo,4,1,0.450441490684607
npo,4,2,0.26272292515926
oni,4,3,0.311750759126566
npgo,4,3,0.290142108073078
oni,5,1,0.251889877498593
nao,5,1,0.482244178569599
npgo,5,1,0.430365459781791
npo,5,1,0.324346785337407
nao,5,2,0.242874164164674
oni,5,3,0.2513527385191
nao,5,3,0.23724434741447
pdo,5,3,0.329310666578614
oni,6,1,0.269079817513869
pdo,6,1,0.317626107925497
iod,6,1,0.348043361137036
npgo,6,1,0.245452794016849
npgo,6,3,0.287332121837384
npo,6,3,0.242209004143082
nao,7,1,0.301123033035926
npo,7,1,0.26620219468642
pdo,7,2,0.290444478519218
oni,7,3,0.290138837535129
nao,7,3,0.305437369704336
pdo,7,3,0.247416879208939
iod,7,3,0.261970795679047
