,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72
global1,0.47142,0.19228,0.1111,0.04374,0.03742,0.02579,0.01399,0.01239,0.00919,0.0078,0.00669,0.00593,0.00488,0.00464,0.00409,0.00372,0.0036,0.00323,0.00265,0.0025,0.00217,0.002,0.00185,0.00178,0.00153,0.00146,0.00145,0.00129,0.00127,0.00116,0.00103,0.00098,9e-04,0.00081,8e-04,0.00074,0.00072,0.00063,0.00062,0.00061,0.00057,0.00054,0.00052,0.00049,0.00045,0.00044,0.00043,0.00041,0.00037,0.00035,0.00035,0.00033,0.00032,3e-04,3e-04,0.00028,0.00027,0.00025,0.00024,0.00023,0.00021,2e-04,0.00019,0.00017,0.00016,0.00015,0.00015,0.00013,0.00013,0.00012,9e-05,0
global2,0.24842,0.12425,0.07903,0.05412,0.04597,0.04272,0.03797,0.03458,0.02791,0.02502,0.02048,0.01621,0.0148,0.0137,0.01358,0.01216,0.01121,0.01064,0.01001,0.00932,0.008,0.00761,0.00746,0.0071,0.00639,0.00605,0.00578,0.00546,0.00494,0.00476,0.00453,0.00441,0.00388,0.00372,0.00357,0.00342,0.00305,0.00303,0.0028,0.00279,0.00265,0.00255,0.00247,0.00243,0.00233,0.00228,0.0022,0.00212,0.00202,0.00196,0.0019,0.00179,0.00168,0.00159,0.00155,0.00152,0.00144,0.00139,0.00136,0.00124,0.00121,0.00118,0.00111,0.00107,0.00105,0.00098,0.00095,0.00088,0.00085,0.00078,0.00064,0
global3,0.34278,0.09565,0.07231,0.06266,0.0428,0.03777,0.0335,0.02732,0.01965,0.01876,0.01648,0.01454,0.01374,0.01345,0.01129,0.0103,0.00952,0.00915,0.00863,0.00782,0.00692,0.00659,0.00629,0.00597,0.00576,0.00503,0.00489,0.00463,0.00439,0.00418,0.00405,0.00379,0.00363,0.00336,0.00326,0.00318,0.00296,0.0029,0.00271,0.00266,0.00244,0.00234,0.00228,0.00209,0.00207,0.00203,0.00193,0.00185,0.00169,0.00166,0.00163,0.00158,0.00156,0.0015,0.00144,0.0014,0.00134,0.00127,0.00125,0.0012,0.00115,0.00111,0.00108,0.00104,0.001,0.00099,0.00093,0.00085,0.00081,0.00071,0.00056,0
global4,0.35482,0.16374,0.1251,0.06791,0.05528,0.04166,0.03936,0.02363,0.01858,0.01241,0.01102,0.00952,0.00689,0.00617,0.00486,0.00421,0.00375,0.00359,0.00323,0.00292,0.00257,0.00238,0.00205,0.00202,0.00193,0.00176,0.00167,0.00161,0.00154,0.00143,0.0013,0.00127,0.00113,0.00108,0.00107,0.00102,0.00089,0.00085,0.00083,0.00079,0.00075,0.00072,0.00067,0.00062,0.00059,0.00058,0.00056,5e-04,0.00048,0.00048,0.00047,0.00045,0.00042,0.00039,0.00038,0.00036,0.00035,0.00033,0.00031,3e-04,0.00028,0.00028,0.00025,0.00025,0.00024,0.00023,0.00021,0.00021,0.00019,0.00017,0.00012,0
global5,0.61267,0.1389,0.09918,0.03986,0.02717,0.01776,0.00961,0.00718,0.00551,0.00503,0.00385,0.00294,0.00271,0.00249,0.00233,0.00211,0.00156,0.00148,0.00135,0.00117,0.00106,0.00097,0.00089,0.00084,0.00073,7e-04,0.00062,0.00057,0.00055,5e-04,0.00048,0.00045,0.00043,0.00042,0.00039,0.00036,0.00031,3e-04,3e-04,0.00029,0.00027,0.00024,0.00023,0.00021,2e-04,0.00019,0.00019,0.00018,0.00016,0.00016,0.00014,0.00014,0.00013,0.00013,0.00012,0.00011,0.00011,0.00011,1e-04,1e-04,9e-05,9e-05,8e-05,8e-05,7e-05,7e-05,6e-05,6e-05,5e-05,5e-05,4e-05,0
global6,0.40647,0.2252,0.08132,0.058,0.04659,0.02583,0.02099,0.01608,0.01388,0.01225,0.00855,0.00804,0.00715,0.00595,0.00455,0.00446,0.00393,0.0034,0.00301,0.00277,0.00242,0.00232,0.0022,0.00207,0.00191,0.00178,0.00172,0.00166,0.00154,0.00134,0.00121,0.0012,0.00117,0.00107,0.001,0.00095,0.00093,0.00088,0.00086,0.00077,0.00074,0.00071,0.00067,0.00064,0.00062,6e-04,0.00057,0.00055,0.00052,0.00051,0.00047,0.00044,0.00042,4e-04,0.00038,0.00037,0.00035,0.00034,0.00033,0.00032,0.00031,3e-04,0.00027,0.00027,0.00026,0.00024,0.00023,0.00022,0.00021,0.00018,0.00017,0
global7,0.28001,0.11372,0.08175,0.06596,0.06487,0.05031,0.03556,0.03254,0.02171,0.01947,0.01731,0.01526,0.01291,0.01238,0.0106,0.00909,0.00875,0.00864,0.00759,0.00695,0.0065,0.00617,0.00593,0.00562,0.0052,0.00481,0.00461,0.00441,0.00434,0.00422,0.00386,0.00357,0.00347,0.00324,0.00311,0.00295,0.00283,0.00271,0.00248,0.0024,0.00227,0.00219,0.00214,0.00207,0.00199,0.00186,0.00177,0.00173,0.00164,0.00161,0.00155,0.00152,0.00148,0.00136,0.00132,0.0013,0.00125,0.00122,0.00115,0.00113,0.00112,0.00107,0.00104,0.00098,0.00093,9e-04,0.00085,0.00083,0.00075,0.00073,0.00045,0
global8,0.59678,0.16424,0.08822,0.04596,0.02495,0.01322,0.01009,0.00639,0.00559,0.00505,0.00424,0.00358,0.00304,0.0029,0.00207,0.00192,0.00183,0.00167,0.00128,0.00119,0.00104,0.001,0.00091,0.00086,0.00076,0.00069,0.00066,0.00062,0.00057,0.00056,0.00049,0.00047,0.00044,0.00044,4e-04,0.00037,0.00036,0.00032,0.00031,0.00029,0.00028,0.00025,0.00024,0.00024,0.00023,2e-04,2e-04,0.00019,0.00017,0.00017,0.00016,0.00015,0.00015,0.00013,0.00013,0.00012,0.00012,0.00011,1e-04,1e-04,9e-05,9e-05,9e-05,9e-05,8e-05,7e-05,7e-05,6e-05,6e-05,5e-05,4e-05,0
global9,0.74911,0.10549,0.05214,0.02076,0.01763,0.0082,0.00651,0.00511,0.00435,0.00357,0.00339,0.0027,0.00257,0.00197,0.00173,0.00151,0.00129,0.00109,0.00095,0.00082,0.00076,0.00066,0.00057,0.00055,0.00049,0.00042,0.00039,0.00038,0.00037,0.00032,0.00029,0.00026,0.00025,0.00024,0.00021,0.00018,0.00017,0.00017,0.00015,0.00015,0.00013,0.00013,0.00013,0.00012,0.00011,1e-04,1e-04,1e-04,9e-05,8e-05,8e-05,8e-05,8e-05,7e-05,7e-05,6e-05,6e-05,5e-05,5e-05,5e-05,5e-05,4e-05,4e-05,4e-05,3e-05,3e-05,3e-05,3e-05,3e-05,2e-05,2e-05,0
global10,0.60226,0.14406,0.08371,0.04471,0.02676,0.01849,0.0112,0.00798,0.00727,0.00588,0.00485,0.00364,0.00324,0.0029,0.00282,0.00236,0.00207,0.00199,0.00187,0.00162,0.0013,0.00116,0.00111,0.00108,0.00099,0.00086,0.00081,0.00077,0.00073,0.00068,0.00064,0.00059,0.00058,0.00056,0.00053,0.00051,0.00045,0.00042,0.00041,0.00038,0.00036,0.00035,0.00033,0.00031,0.00029,0.00029,0.00027,0.00027,0.00026,0.00022,0.00021,2e-04,0.00019,0.00018,0.00018,0.00017,0.00016,0.00015,0.00015,0.00014,0.00013,0.00013,0.00012,0.00011,0.00011,1e-04,1e-04,8e-05,8e-05,7e-05,6e-05,0
