,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72
global1,0.20673,0.11695,0.08374,0.05525,0.04704,0.03474,0.03063,0.0263,0.02446,0.02124,0.01916,0.01768,0.01685,0.0162,0.01459,0.01389,0.01295,0.01172,0.01119,0.01063,0.00978,0.00955,0.00903,0.00859,0.00798,0.00751,0.00706,0.00653,0.0063,0.00622,0.00601,0.00561,0.00556,0.00543,0.00526,0.00513,0.00498,0.00477,0.0045,0.00435,0.00409,0.00401,0.00385,0.00371,0.00349,0.00333,0.00332,0.00314,0.00306,0.00302,0.00286,0.00277,0.00273,0.00266,0.00261,0.00249,0.00246,0.00238,0.00229,0.00215,0.00205,0.00202,0.00186,0.00179,0.00175,0.00168,0.00161,0.00161,0.00136,0.00107,0.00071,0
global2,0.12293,0.08454,0.05836,0.05317,0.04323,0.0397,0.03377,0.03159,0.02676,0.02372,0.02327,0.02072,0.01986,0.01849,0.01704,0.01616,0.01526,0.01466,0.01347,0.01288,0.01253,0.01237,0.0109,0.01079,0.01046,0.01034,0.01011,0.00965,0.00923,0.00878,0.00872,0.0084,0.00815,0.00778,0.00734,0.0073,0.00706,0.00669,0.00658,0.00646,0.00641,0.00621,0.00611,0.00594,0.00583,0.00565,0.00548,0.00533,0.00503,0.00496,0.00471,0.00465,0.00452,0.00438,0.00431,0.00415,0.00405,0.00391,0.00376,0.00371,0.00355,0.00352,0.00332,0.00331,0.0031,0.00303,0.00296,0.00289,0.00268,0.00189,0.00142,0
global3,0.21251,0.11962,0.0673,0.06237,0.04295,0.03281,0.03098,0.02679,0.02257,0.01842,0.01743,0.01627,0.01515,0.01476,0.01279,0.01243,0.01171,0.01117,0.01059,0.00976,0.00963,0.00938,0.00911,0.00861,0.00786,0.00776,0.00753,0.00732,0.00703,0.00689,0.00666,0.00641,0.00606,0.00586,0.00564,0.00549,0.00546,0.00534,0.00505,0.00479,0.0047,0.00466,0.00458,0.0043,0.00405,0.00396,0.00393,0.00367,0.00353,0.00341,0.00332,0.00326,0.0032,0.0031,0.00304,0.00301,0.00289,0.00281,0.00278,0.00269,0.00261,0.00256,0.00245,0.0024,0.00237,0.00224,0.00217,0.00213,0.00179,0.00124,0.00089,0
global4,0.20335,0.11847,0.08275,0.07752,0.04787,0.04066,0.03725,0.03355,0.02913,0.02172,0.01922,0.01794,0.01713,0.01444,0.01344,0.01226,0.01122,0.01035,0.00935,0.00916,0.00846,0.00787,0.00749,0.00702,0.00658,0.00647,0.00568,0.00566,0.0055,0.00525,0.00496,0.00473,0.00448,0.00448,0.00411,0.00405,0.00397,0.00389,0.0037,0.00356,0.00344,0.00324,0.0032,0.00311,0.00299,0.00286,0.00275,0.00272,0.00265,0.00256,0.00246,0.00237,0.0023,0.00226,0.00213,0.00202,0.00196,0.00194,0.00188,0.00177,0.00172,0.00165,0.0016,0.00149,0.00142,0.0014,0.00129,0.00128,0.00109,0.00088,0.00086,0
global5,0.32206,0.10487,0.07586,0.0551,0.04194,0.03452,0.02355,0.02151,0.02085,0.01953,0.01661,0.01517,0.01335,0.01222,0.01127,0.01061,0.00934,0.00918,0.00837,0.00801,0.00789,0.00725,0.00682,0.00652,0.00616,0.00588,0.00572,0.00537,0.00517,0.00509,0.00487,0.00449,0.00444,0.00427,0.00399,0.00387,0.00367,0.00359,0.0035,0.00343,0.00335,0.00324,0.00307,0.00298,0.00287,0.0027,0.00269,0.00263,0.00259,0.00247,0.00238,0.00236,0.00225,0.00212,0.00207,0.00205,0.00202,0.00198,0.0019,0.00178,0.00173,0.00167,0.00167,0.0016,0.00151,0.00139,0.00132,0.00129,0.00113,0.00073,0.00057,0
global6,0.33301,0.09853,0.05952,0.04687,0.03833,0.03458,0.0258,0.02288,0.02103,0.02069,0.01796,0.01561,0.0153,0.01399,0.0127,0.01198,0.01085,0.00976,0.00911,0.00868,0.00806,0.00769,0.00733,0.00715,0.00635,0.00628,0.00603,0.00571,0.0055,0.0052,0.00485,0.00478,0.00454,0.0044,0.00419,0.00402,0.00399,0.0038,0.00367,0.00349,0.00334,0.00332,0.00313,0.00303,0.0029,0.00284,0.00272,0.00266,0.00251,0.00249,0.00239,0.00234,0.00231,0.00214,0.00214,0.00207,0.00201,0.00198,0.00189,0.00181,0.0018,0.00171,0.00168,0.00159,0.0015,0.00146,0.0014,0.00135,0.00132,0.00118,8e-04,0
global7,0.24371,0.12754,0.06036,0.05718,0.0433,0.04256,0.0283,0.02547,0.02438,0.02068,0.01856,0.01767,0.01685,0.01556,0.01519,0.01313,0.01216,0.01119,0.01023,0.00958,0.00886,0.00856,0.00793,0.00759,0.00731,0.0068,0.00634,0.00612,0.00593,0.00579,0.00546,0.00511,0.00503,0.00498,0.00479,0.00442,0.00421,0.00414,0.00402,0.00382,0.00367,0.00357,0.00331,0.00327,0.00323,0.00308,0.00289,0.00273,0.00271,0.00257,0.00254,0.00253,0.00236,0.0023,0.00228,0.0022,0.00214,0.00202,0.00195,0.0019,0.00185,0.00172,0.00169,0.0016,0.00155,0.00151,0.00149,0.00137,0.00133,0.00118,0.00069,0
global8,0.44246,0.20103,0.05431,0.05108,0.03789,0.02716,0.02246,0.02097,0.01479,0.01212,0.01006,0.0094,0.00729,0.00634,0.00573,0.00532,0.0048,0.00389,0.00354,0.00338,0.0033,0.00301,0.00295,0.00279,0.0025,0.00243,0.00227,0.00211,0.00195,0.00184,0.00175,0.00166,0.00151,0.00147,0.00137,0.00128,0.00118,0.00114,0.00106,0.00102,0.00101,0.00096,0.00093,0.00085,0.00082,8e-04,0.00075,0.00072,0.00068,0.00068,0.00064,0.00062,0.00059,0.00058,0.00058,0.00054,0.00051,0.00048,0.00045,0.00043,0.00042,0.00042,0.00038,0.00037,0.00037,0.00035,0.00032,0.00029,0.00028,0.00027,0.00026,0
global9,0.28459,0.1474,0.10553,0.0684,0.05184,0.03565,0.03023,0.02356,0.01983,0.01632,0.01443,0.01312,0.01224,0.0102,0.00952,0.00915,0.00795,0.00743,0.0068,0.00649,0.00597,0.0055,0.00535,0.00512,0.00462,0.00449,0.0042,0.00403,0.0039,0.00381,0.00347,0.00326,0.0031,0.00303,0.00288,0.0027,0.00266,0.00253,0.00246,0.00241,0.00232,0.00227,0.00221,0.0021,0.00199,0.00196,0.00187,0.0018,0.00172,0.0017,0.00167,0.00156,0.00155,0.00146,0.00143,0.00133,0.00131,0.00128,0.00125,0.00118,0.00116,0.00114,0.00107,0.001,0.00098,9e-04,0.00084,0.00083,0.00079,0.00061,0.00054,0
global10,0.3245,0.10829,0.08432,0.04948,0.03787,0.03481,0.02989,0.023,0.02,0.01791,0.01496,0.01298,0.01268,0.01189,0.01081,0.01038,0.00962,0.00884,0.00873,0.0081,0.00764,0.00725,0.0071,0.00677,0.00623,0.00606,0.00559,0.00539,0.00525,0.00493,0.00474,0.00435,0.00411,0.00398,0.0038,0.0037,0.0035,0.00343,0.00336,0.00318,0.00314,0.00303,0.00297,0.00279,0.00276,0.00268,0.00259,0.00243,0.00238,0.00229,0.00217,0.00213,0.00203,0.00199,0.00194,0.00192,0.00186,0.00179,0.00173,0.00164,0.0016,0.00155,0.00153,0.00148,0.00145,0.00139,0.00123,0.00117,0.00111,0.00096,0.00084,0
